build_uuid,project,job_name,branch,pipeline,result,end_time,node,status,match_count,log_url
b2c371d4ccba4744939f60d477621d7c,openstack/kolla,kolla-ansible-debian-trixie-aarch64,master,check-arm64,FAILURE,2026-08-20T19:46:38,primary,miss,0,https://771eb0e01a0d24a7571a-6177775aca2ef9bf86cf10df13a88f01.ssl.cf5.rackcdn.com/openstack/b2c371d4ccba4744939f60d477621d7c/primary/logs/kolla/fluentd/fluentd.txt
c57eccb221494c26b4f9bf1fbd450388,openstack/kolla,kolla-ansible-ubuntu-noble-prometheus-opensearch,master,check,SUCCESS,2026-08-20T18:13:12,primary,miss,0,https://storage.bhs.cloud.ovh.net/v1/AUTH_dcaab5e32b234d56b626f72581e3644c/zuul_opendev_logs_c57/openstack/c57eccb221494c26b4f9bf1fbd450388/primary/logs/kolla/fluentd/fluentd.txt
15aba0b042f74449b8fbd66b9d8f8a7d,openstack/kolla,kolla-ansible-debian-trixie-telemetry,master,check,FAILURE,2026-08-20T18:49:34,primary,miss,0,https://2ab502b674131c685c16-07197e0a54baf445efd8154b2af608b4.ssl.cf2.rackcdn.com/openstack/15aba0b042f74449b8fbd66b9d8f8a7d/primary/logs/kolla/fluentd/fluentd.txt
3f2f45c0dcff41478f59d5dc5846694d,openstack/kolla,kolla-ansible-rocky-10-masakari,master,check,SUCCESS,2026-08-20T18:43:45,primary,miss,0,https://storage.bhs.cloud.ovh.net/v1/AUTH_dcaab5e32b234d56b626f72581e3644c/zuul_opendev_logs_3f2/openstack/3f2f45c0dcff41478f59d5dc5846694d/primary/logs/kolla/fluentd/fluentd.txt
3f2f45c0dcff41478f59d5dc5846694d,openstack/kolla,kolla-ansible-rocky-10-masakari,master,check,SUCCESS,2026-08-20T18:43:45,secondary,miss,0,https://storage.bhs.cloud.ovh.net/v1/AUTH_dcaab5e32b234d56b626f72581e3644c/zuul_opendev_logs_3f2/openstack/3f2f45c0dcff41478f59d5dc5846694d/secondary/logs/kolla/fluentd/fluentd.txt
3f2f45c0dcff41478f59d5dc5846694d,openstack/kolla,kolla-ansible-rocky-10-masakari,master,check,SUCCESS,2026-08-20T18:43:45,ternary1,miss,0,https://storage.bhs.cloud.ovh.net/v1/AUTH_dcaab5e32b234d56b626f72581e3644c/zuul_opendev_logs_3f2/openstack/3f2f45c0dcff41478f59d5dc5846694d/ternary1/logs/kolla/fluentd/fluentd.txt
3f2f45c0dcff41478f59d5dc5846694d,openstack/kolla,kolla-ansible-rocky-10-masakari,master,check,SUCCESS,2026-08-20T18:43:45,ternary2,miss,0,https://storage.bhs.cloud.ovh.net/v1/AUTH_dcaab5e32b234d56b626f72581e3644c/zuul_opendev_logs_3f2/openstack/3f2f45c0dcff41478f59d5dc5846694d/ternary2/logs/kolla/fluentd/fluentd.txt
ace16e3b553843aea9aecc5bc84a6920,openstack/kolla,kolla-ansible-ubuntu-noble-prometheus-opensearch-upgrade,master,check,SUCCESS,2026-08-20T18:31:14,primary,miss,0,https://dccf9fa029bc019bf9c8-f2bf793752c46f34c030f7713979ca54.ssl.cf5.rackcdn.com/openstack/ace16e3b553843aea9aecc5bc84a6920/primary/logs/kolla/fluentd/fluentd.txt
1bd5a80488ca4324863ddfb8540add0f,openstack/kolla,kolla-ansible-debian-trixie-prometheus-opensearch,master,check,SUCCESS,2026-08-20T18:12:12,primary,miss,0,https://13f779859cb8e6a2636c-622ee76b299c57d2132775c45000bd4e.ssl.cf5.rackcdn.com/openstack/1bd5a80488ca4324863ddfb8540add0f/primary/logs/kolla/fluentd/fluentd.txt
fb191fef483e4a309e7e88a6f4084879,openstack/kolla,kolla-ansible-debian-trixie-masakari,master,check,FAILURE,2026-08-20T18:26:33,primary,miss,0,https://storage.gra.cloud.ovh.net/v1/AUTH_dcaab5e32b234d56b626f72581e3644c/zuul_opendev_logs_fb1/openstack/fb191fef483e4a309e7e88a6f4084879/primary/logs/kolla/fluentd/fluentd.txt
fb191fef483e4a309e7e88a6f4084879,openstack/kolla,kolla-ansible-debian-trixie-masakari,master,check,FAILURE,2026-08-20T18:26:33,secondary,miss,0,https://storage.gra.cloud.ovh.net/v1/AUTH_dcaab5e32b234d56b626f72581e3644c/zuul_opendev_logs_fb1/openstack/fb191fef483e4a309e7e88a6f4084879/secondary/logs/kolla/fluentd/fluentd.txt
fb191fef483e4a309e7e88a6f4084879,openstack/kolla,kolla-ansible-debian-trixie-masakari,master,check,FAILURE,2026-08-20T18:26:33,ternary1,miss,0,https://storage.gra.cloud.ovh.net/v1/AUTH_dcaab5e32b234d56b626f72581e3644c/zuul_opendev_logs_fb1/openstack/fb191fef483e4a309e7e88a6f4084879/ternary1/logs/kolla/fluentd/fluentd.txt
fb191fef483e4a309e7e88a6f4084879,openstack/kolla,kolla-ansible-debian-trixie-masakari,master,check,FAILURE,2026-08-20T18:26:33,ternary2,miss,0,https://storage.gra.cloud.ovh.net/v1/AUTH_dcaab5e32b234d56b626f72581e3644c/zuul_opendev_logs_fb1/openstack/fb191fef483e4a309e7e88a6f4084879/ternary2/logs/kolla/fluentd/fluentd.txt
8db3d0e7ed4f45feb3001522b9279bc2,openstack/kolla,kolla-ansible-debian-trixie-prometheus-opensearch-upgrade,master,check,SUCCESS,2026-08-20T18:26:38,primary,miss,0,https://b74f93614267ec33f0e6-29ee8b01fa2ff07cfdccc2fb12cc4e5e.ssl.cf5.rackcdn.com/openstack/8db3d0e7ed4f45feb3001522b9279bc2/primary/logs/kolla/fluentd/fluentd.txt
e4a48f6ef669473e9dbea91f47279c3b,openstack/kolla,kolla-ansible-ubuntu-noble-octavia,master,check,SUCCESS,2026-08-20T19:06:39,primary,miss,0,https://6b16ebc15df2ccaf1681-21aea34ef0338114ce1b86af34e707e3.ssl.cf1.rackcdn.com/openstack/e4a48f6ef669473e9dbea91f47279c3b/primary/logs/kolla/fluentd/fluentd.txt
