build_uuid,project,job_name,branch,pipeline,result,end_time,node,status,match_count,log_url
e7a1efc2fa654584bac96a66dec7d54a,openstack/kolla-ansible,kolla-ansible-debian-trixie-mariadb,master,check,SUCCESS,2026-07-24T20:32:54,primary,miss,0,https://35ece836ad1f8370c95e-b826b4e58e169bf75854b3049756e76a.ssl.cf1.rackcdn.com/openstack/e7a1efc2fa654584bac96a66dec7d54a/primary/logs/kolla/mariadb/mariadb.txt
e7a1efc2fa654584bac96a66dec7d54a,openstack/kolla-ansible,kolla-ansible-debian-trixie-mariadb,master,check,SUCCESS,2026-07-24T20:32:54,secondary1,miss,0,https://35ece836ad1f8370c95e-b826b4e58e169bf75854b3049756e76a.ssl.cf1.rackcdn.com/openstack/e7a1efc2fa654584bac96a66dec7d54a/secondary1/logs/kolla/mariadb/mariadb.txt
e7a1efc2fa654584bac96a66dec7d54a,openstack/kolla-ansible,kolla-ansible-debian-trixie-mariadb,master,check,SUCCESS,2026-07-24T20:32:54,secondary2,miss,0,https://35ece836ad1f8370c95e-b826b4e58e169bf75854b3049756e76a.ssl.cf1.rackcdn.com/openstack/e7a1efc2fa654584bac96a66dec7d54a/secondary2/logs/kolla/mariadb/mariadb.txt
d43949e96d074aa3ad2d14a97bb0e878,openstack/kolla-ansible,kolla-ansible-ubuntu-noble-mariadb-upgrade,master,check,SUCCESS,2026-07-24T20:44:15,primary,miss,0,https://19966b3021c7e10dd87b-77015af3db91611efac7bcb5201b96b6.ssl.cf1.rackcdn.com/openstack/d43949e96d074aa3ad2d14a97bb0e878/primary/logs/kolla/mariadb/mariadb.txt
d43949e96d074aa3ad2d14a97bb0e878,openstack/kolla-ansible,kolla-ansible-ubuntu-noble-mariadb-upgrade,master,check,SUCCESS,2026-07-24T20:44:15,secondary1,miss,0,https://19966b3021c7e10dd87b-77015af3db91611efac7bcb5201b96b6.ssl.cf1.rackcdn.com/openstack/d43949e96d074aa3ad2d14a97bb0e878/secondary1/logs/kolla/mariadb/mariadb.txt
d43949e96d074aa3ad2d14a97bb0e878,openstack/kolla-ansible,kolla-ansible-ubuntu-noble-mariadb-upgrade,master,check,SUCCESS,2026-07-24T20:44:15,secondary2,miss,0,https://19966b3021c7e10dd87b-77015af3db91611efac7bcb5201b96b6.ssl.cf1.rackcdn.com/openstack/d43949e96d074aa3ad2d14a97bb0e878/secondary2/logs/kolla/mariadb/mariadb.txt
8360315a42874a098087773de5034a47,openstack/kolla-ansible,kolla-ansible-ubuntu-noble-mariadb,master,check,SUCCESS,2026-07-24T20:33:02,primary,miss,0,https://a4181eb30f4ac714523d-45f22e17624580b77c5729dc5ba67080.ssl.cf5.rackcdn.com/openstack/8360315a42874a098087773de5034a47/primary/logs/kolla/mariadb/mariadb.txt
8360315a42874a098087773de5034a47,openstack/kolla-ansible,kolla-ansible-ubuntu-noble-mariadb,master,check,SUCCESS,2026-07-24T20:33:02,secondary1,miss,0,https://a4181eb30f4ac714523d-45f22e17624580b77c5729dc5ba67080.ssl.cf5.rackcdn.com/openstack/8360315a42874a098087773de5034a47/secondary1/logs/kolla/mariadb/mariadb.txt
8360315a42874a098087773de5034a47,openstack/kolla-ansible,kolla-ansible-ubuntu-noble-mariadb,master,check,SUCCESS,2026-07-24T20:33:02,secondary2,miss,0,https://a4181eb30f4ac714523d-45f22e17624580b77c5729dc5ba67080.ssl.cf5.rackcdn.com/openstack/8360315a42874a098087773de5034a47/secondary2/logs/kolla/mariadb/mariadb.txt
d37a1dfb410b4aac89f3b41f215216ab,openstack/kolla-ansible,kolla-ansible-rocky-10-mariadb-upgrade,master,check,SUCCESS,2026-07-24T20:31:41,primary,miss,0,https://32344382aa030765d4e7-f551ab1b115281f7e8f385a5acfcebbb.ssl.cf5.rackcdn.com/openstack/d37a1dfb410b4aac89f3b41f215216ab/primary/logs/kolla/mariadb/mariadb.txt
